# source_id	kind	status	crystal_refs	notes
debugger/src/main/java/org/apache/pdfbox/debugger/ui/DebugLogAppender.java::class::DebugLogAppender	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/DebugLogAppender.java::method::DebugLogAppender.append	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/DebugLogAppender.java::method::DebugLogAppender.createAppender	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/DebugLogAppender.java::method::DebugLogAppender.setupCustomLogger	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/DocumentEntry.java::class::DocumentEntry	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/DocumentEntry.java::method::DocumentEntry.getPage	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/DocumentEntry.java::method::DocumentEntry.getPageCount	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/DocumentEntry.java::method::DocumentEntry.indexOf	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/DocumentEntry.java::method::DocumentEntry.toString	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ErrorDialog.java::class::ErrorDialog	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/FileOpenSaveDialog.java::class::FileOpenSaveDialog	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/FileOpenSaveDialog.java::method::FileOpenSaveDialog.approveSelection	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/FileOpenSaveDialog.java::method::FileOpenSaveDialog.openFile	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/FileOpenSaveDialog.java::method::FileOpenSaveDialog.saveDocument	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/FileOpenSaveDialog.java::method::FileOpenSaveDialog.saveFile	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/HighResolutionImageIcon.java::class::HighResolutionImageIcon	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/HighResolutionImageIcon.java::method::HighResolutionImageIcon.getIconHeight	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/HighResolutionImageIcon.java::method::HighResolutionImageIcon.getIconWidth	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/HighResolutionImageIcon.java::method::HighResolutionImageIcon.paintIcon	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ImageTypeMenu.java::const::IMAGETYPE_ARGB	const	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ImageTypeMenu.java::const::IMAGETYPE_BITONAL	const	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ImageTypeMenu.java::const::IMAGETYPE_GRAY	const	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ImageTypeMenu.java::const::IMAGETYPE_RGB	const	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ImageTypeMenu.java::func::getImageType	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ImageTypeMenu.java::func::getInstance	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ImageTypeMenu.java::func::isImageTypeMenu	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ImageTypeMenu.java::func::setImageTypeSelection	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ImageUtil.java::func::getRotatedImage	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/LogDialog.java::class::LogDialog	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/LogDialog.java::method::LogDialog.clear	method	missing	-	auto-generated
